tid,toi,toidisplay,tfopwg_disp,disposition_group,pl_orbper,pl_rade,st_tmag,st_teff,st_rad,missing_feature_count,missing_feature_names,rowupdate,release_date
50943163,3672.01,TOI-3672.01,FP,false_positive_or_alarm,2.4254068,11.0715,11.2351,8290.0,2.51,0,,2024-08-22 10:08:01,2026-05-15 16:14:29
452964680,3673.01,TOI-3673.01,PC,candidate_for_prediction,2.2390796,16.4201,13.2514,5615.0,1.29,0,,2024-09-10 10:08:02,2026-05-15 16:14:29
220459976,285.01,TOI-285.01,PC,candidate_for_prediction,,3.028709,12.1677,3891.0,0.615038,1,pl_orbper,2026-02-02 16:00:02,2026-05-15 16:14:29
453105377,2850.01,TOI-2850.01,PC,candidate_for_prediction,6.6329154,7.47324,10.7599,4608.0,0.88,0,,2024-08-22 10:08:01,2026-05-15 16:14:29
174206540,2851.01,TOI-2851.01,PC,candidate_for_prediction,4.8257226,14.7924,13.0923,7141.0,1.66,0,,2024-08-22 10:08:01,2026-05-15 16:14:29
52869977,2852.01,TOI-2852.01,PC,candidate_for_prediction,0.400777,10.0625,13.3947,5635.0,2.07,0,,2024-08-22 10:08:01,2026-05-15 16:14:29
173818213,2853.01,TOI-2853.01,PC,candidate_for_prediction,3.2923881,21.0823,13.4546,6300.0,1.24,0,,2024-08-22 10:08:01,2026-05-15 16:14:29
50989813,2854.01,TOI-2854.01,PC,candidate_for_prediction,0.9008643,13.1071,12.5461,9267.0,2.46,0,,2024-08-22 10:08:01,2026-05-15 16:14:29
437156845,2855.01,TOI-2855.01,FP,false_positive_or_alarm,3.4906402,8.78597,12.7325,6066.0,1.18,0,,2025-04-11 12:03:11,2026-05-15 16:14:29
172630205,2856.01,TOI-2856.01,FP,false_positive_or_alarm,0.599092,11.5931,12.6989,5220.0,3.19,0,,2025-01-27 12:03:29,2026-05-15 16:14:29
419148828,2857.01,TOI-2857.01,APC,candidate_for_prediction,0.6216031,8.6439547,12.4644,8038.0,1.50848,0,,2024-09-07 10:08:02,2026-05-15 16:14:29
47587394,2858.01,TOI-2858.01,PC,candidate_for_prediction,2.4181961,,13.3606,5118.6,,2,pl_rade;st_rad,2024-08-22 10:08:01,2026-05-15 16:14:29
157655504,2859.01,TOI-2859.01,PC,candidate_for_prediction,3.9589903,20.2505,12.9395,6551.0,1.73,0,,2024-08-22 10:08:01,2026-05-15 16:14:29
150030205,286.01,TOI-286.01,CP,confirmed_or_known_planet,4.5117295,1.4896211,9.1059,5245.0,0.79,0,,2026-04-09 16:00:01,2026-05-15 16:14:29
150030205,286.02,TOI-286.02,CP,confirmed_or_known_planet,39.361947,1.84555,9.1059,5245.0,0.79,0,,2025-04-21 12:03:49,2026-05-15 16:14:29
419029830,2860.01,TOI-2860.01,PC,candidate_for_prediction,4.1849602,,13.4746,5722.4,,2,pl_rade;st_rad,2024-09-01 12:02:56,2026-05-15 16:14:29
157572174,2861.01,TOI-2861.01,PC,candidate_for_prediction,6.6269971,11.1341925,13.0316,5940.0,1.48946,0,,2024-09-10 10:08:02,2026-05-15 16:14:29
231937059,2862.01,TOI-2862.01,PC,candidate_for_prediction,11.4874782,15.5181,13.0436,5958.0,1.22,0,,2025-01-23 12:03:27,2026-05-15 16:14:29
412257781,2863.01,TOI-2863.01,FP,false_positive_or_alarm,1.1894812,9.44872,12.7797,6550.0,1.5,0,,2024-08-22 10:08:01,2026-05-15 16:14:29
157011920,2864.01,TOI-2864.01,PC,candidate_for_prediction,0.4777885,,12.818,5286.9,,2,pl_rade;st_rad,2024-08-22 10:08:01,2026-05-15 16:14:29
231337271,2865.01,TOI-2865.01,PC,candidate_for_prediction,0.451685,9.82852,12.685,6353.0,1.1,0,,2024-08-22 10:08:01,2026-05-15 16:14:29
454876465,3126.01,TOI-3126.01,PC,candidate_for_prediction,1.8246123,18.0134,13.2585,5655.0,1.39,0,,2024-08-22 10:08:01,2026-05-15 16:14:29
17361,3127.01,TOI-3127.01,APC,candidate_for_prediction,3.606557,13.2514,11.342,5775.3,1.26,0,,2024-08-22 10:08:01,2026-05-15 16:14:29
453677947,3128.01,TOI-3128.01,PC,candidate_for_prediction,2.3155132,7.00521,11.9346,6011.0,1.45,0,,2024-08-22 10:08:01,2026-05-15 16:14:29
4711,3129.01,TOI-3129.01,PC,candidate_for_prediction,2.3348152,11.4665,10.9198,5949.1,1.51,0,,2024-08-22 10:08:01,2026-05-15 16:14:29
9102327,313.01,TOI-313.01,FP,false_positive_or_alarm,3.2615,5.07097,11.3018,5963.0,1.13,0,,2021-12-06 10:10:01,2026-05-15 16:14:29
453396346,3130.01,TOI-3130.01,PC,candidate_for_prediction,0.4415174,31.5083507,13.5606,5117.0,2.9223199,0,,2026-04-25 12:03:56,2026-05-15 16:14:29
2876,3131.01,TOI-3131.01,PC,candidate_for_prediction,2.6274574,18.5088,13.1643,6148.0,1.23,0,,2024-08-22 10:08:01,2026-05-15 16:14:29
448923766,3132.01,TOI-3132.01,PC,candidate_for_prediction,2.2664085,13.4164,13.1311,6107.0,1.27,0,,2024-08-22 10:08:01,2026-05-15 16:14:29
448775221,3133.01,TOI-3133.01,PC,candidate_for_prediction,4.0902788,13.9755,11.938,6130.0,1.95,0,,2025-05-03 12:03:17,2026-05-15 16:14:29
448688668,3134.01,TOI-3134.01,PC,candidate_for_prediction,2.2308431,22.6165,13.3397,6386.0,2.14,0,,2024-08-22 10:08:01,2026-05-15 16:14:29
448098793,3135.01,TOI-3135.01,PC,candidate_for_prediction,3.7065603,12.9758,11.0994,5632.0,1.03,0,,2024-08-22 10:08:01,2026-05-15 16:14:29
418471796,3136.01,TOI-3136.01,PC,candidate_for_prediction,2.6841894,21.16,12.7666,5914.0,1.17,0,,2024-08-22 10:08:01,2026-05-15 16:14:29
395514100,3137.01,TOI-3137.01,PC,candidate_for_prediction,1.8823821,,11.528,,,3,pl_rade;st_teff;st_rad,2024-08-22 10:08:01,2026-05-15 16:14:29
270347814,3138.01,TOI-3138.01,PC,candidate_for_prediction,2.8740048,12.2262,13.5117,4270.3,0.74,0,,2024-08-22 10:08:01,2026-05-15 16:14:29
48661942,3139.01,TOI-3139.01,PC,candidate_for_prediction,3.9628496,9.64171,11.9118,5449.0,1.43,0,,2024-08-22 10:08:01,2026-05-15 16:14:29
316769613,314.01,TOI-314.01,PC,candidate_for_prediction,10.18108,2.66019,11.1741,4822.0,0.78,0,,2021-10-29 12:59:15,2026-05-15 16:14:29
394900138,3140.01,TOI-3140.01,PC,candidate_for_prediction,3.0932735,,13.0885,,,3,pl_rade;st_teff;st_rad,2024-08-22 10:08:01,2026-05-15 16:14:29
394443982,3141.01,TOI-3141.01,PC,candidate_for_prediction,4.4338805,13.6095,12.4712,6695.0,1.37,0,,2024-08-22 10:08:01,2026-05-15 16:14:29
387791274,3142.01,TOI-3142.01,PC,candidate_for_prediction,1.1536561,,13.229,,,3,pl_rade;st_teff;st_rad,2024-08-22 10:08:01,2026-05-15 16:14:29
384244834,3143.01,TOI-3143.01,PC,candidate_for_prediction,2.9902369,140.194,12.048,,17.34,1,st_teff,2024-08-22 10:08:01,2026-05-15 16:14:29
152685831,3402.01,TOI-3402.01,FP,false_positive_or_alarm,3.4714171,,12.6532,,,3,pl_rade;st_teff;st_rad,2024-08-22 10:08:01,2026-05-15 16:14:29
133107143,3403.01,TOI-3403.01,PC,candidate_for_prediction,11.2205176,17.0919218,12.0894,6764.0,1.60322,0,,2024-09-10 10:08:02,2026-05-15 16:14:29
18795429,3404.01,TOI-3404.01,PC,candidate_for_prediction,2.5087868,12.9918,12.7435,6255.0,1.01,0,,2024-08-22 10:08:01,2026-05-15 16:14:29
152326573,3405.01,TOI-3405.01,PC,candidate_for_prediction,6.1458884,18.4029,13.0178,7231.0,1.6,0,,2024-08-22 10:08:01,2026-05-15 16:14:29
410159011,3406.01,TOI-3406.01,PC,candidate_for_prediction,2.623354,16.3338,12.8054,6437.0,1.69,0,,2024-08-22 10:08:01,2026-05-15 16:14:29
152005053,3407.01,TOI-3407.01,PC,candidate_for_prediction,1.3847905,11.9783,13.0549,5596.0,1.82,0,,2026-02-06 12:03:31,2026-05-15 16:14:29
7904580,3408.01,TOI-3408.01,FP,false_positive_or_alarm,15.8346011,16.7304,13.3008,5713.1,1.09,0,,2025-05-13 12:03:17,2026-05-15 16:14:29
405485201,3409.01,TOI-3409.01,PC,candidate_for_prediction,7.7605254,4.92551,11.7483,6070.0,1.09,0,,2024-08-22 10:08:01,2026-05-15 16:14:29
33911302,341.01,TOI-341.01,PC,candidate_for_prediction,1.81383,11.581,13.3302,4775.0,0.94,0,,2021-10-29 12:59:15,2026-05-15 16:14:29
238012337,3410.01,TOI-3410.01,PC,candidate_for_prediction,3.9791023,,11.581,,,3,pl_rade;st_teff;st_rad,2024-08-22 10:08:01,2026-05-15 16:14:29
150424946,3411.01,TOI-3411.01,PC,candidate_for_prediction,7.0628019,,13.1428,,,3,pl_rade;st_teff;st_rad,2024-08-22 10:08:01,2026-05-15 16:14:29
396794358,3412.01,TOI-3412.01,PC,candidate_for_prediction,3.1405783,11.93,12.6977,5636.0,1.26,0,,2024-08-22 10:08:01,2026-05-15 16:14:29
149745822,3413.01,TOI-3413.01,PC,candidate_for_prediction,4.7114264,15.6522,12.5881,8238.0,1.47,0,,2024-08-22 10:08:01,2026-05-15 16:14:29
131348451,3414.01,TOI-3414.01,PC,candidate_for_prediction,9.7355768,9.29033,11.9685,5033.0,1.81,0,,2024-08-22 10:08:01,2026-05-15 16:14:29
386456916,3415.01,TOI-3415.01,PC,candidate_for_prediction,3.5714448,18.4074,12.2665,5942.0,2.56,0,,2024-08-22 10:08:01,2026-05-15 16:14:29
145910571,3416.01,TOI-3416.01,PC,candidate_for_prediction,2.3626917,14.4588,12.6255,8360.0,1.62,0,,2024-08-22 10:08:01,2026-05-15 16:14:29
332710679,3417.01,TOI-3417.01,PC,candidate_for_prediction,2.7194615,12.4906,13.4736,5454.0,0.89,0,,2024-08-22 10:08:01,2026-05-15 16:14:29
437144507,3418.01,TOI-3418.01,PC,candidate_for_prediction,7.3039869,,11.8994,5308.5,,2,pl_rade;st_rad,2024-09-07 10:08:02,2026-05-15 16:14:29
145904365,3419.01,TOI-3419.01,PC,candidate_for_prediction,7.9969538,,12.935,5305.8,,2,pl_rade;st_rad,2024-08-22 10:08:01,2026-05-15 16:14:29
415969574,342.01,TOI-342.01,FP,false_positive_or_alarm,10.45776,,12.8691,5800.0,,2,pl_rade;st_rad,2021-12-06 16:02:02,2026-05-15 16:14:29
